Gh'éra öna ölta C'era una volta
öna tuśa    una ragazza
öna laźźaruna, öna laźźaruna!	tanto lazzarona
l'è ri-àt sö ala pòrta d'la sò mama	arrivato alla porta della mamma delle ragazze
'l l'à metida de dét	l'ha appoggiata di dentro
e pò lü l'è 'ndàt	e poi se n'e andato
quàndo l'è ri-àt gió la dìs:	quando è tornato giù lei gli chiede:
— che dìs la mé màmå?	— cosa ha detto la mia mamma?
— nò	— no
l'ó mìa ìsta	non l'ho vista
perchè só mìa 'ndàt de dét	perché non sono entrato
l'ó pustada śgió lé ala pórtå	ho solo appoggiato la cassa dietro la porta
quando l'è pasàt em pó tànt ol tép	trascorso un altro po' di tempo
'l gh'à dìt, ål dìs:	la ragazza dice:
— la mé màmå só sigürå che l'arà finìt	— sono sicura che mia madre avrà finito
i sólc che te gh'é purtàt en sö	i soldi che le hai portato
perché ghe n'é-e pò mìa metìt gió gna' tance —	perché non erano tanti
e 'l gh'à dìt:	e lui ha detto:
— màndegne 'n sö amò —	— mandagliene ancora —
l'à turnàt a fà la medéśima férå	ha fatto la stessa cosa
l'à fàt fà só la casèta	ha preparato la cassetta
l'à metìt gió chèl'ótra surèlå	vi ha messo l'altra sorella
l'à metìt gió 'm pó de palanche	con un po' di soldi
e pò dòpo la l'à spedìdå	e poi dopo l'ha spedita
lü 'l ghe l'à purtada 'n sö	lui gliel'ha portata su
dòpo la restà-a śgió apéna lé	alla fine restava solo lei
quàndo che l'è stàc pasàt em pó tànt ol tép	e dopo un po'
la gh'à dìt essè:	dice al mago:
— madóna — la dìs —	— madonna — dice —
la mé màmå — la dìs — la gi arà finìc i sólc perché	— mia mamma avrà finito i soldi perché
la gh'éå sö piö gna' önà che laurà-ö	non ha neppure una figlia che lavori
e i sólc i fà prèst a finìs	e quelli fan presto a finire
màndegge 'n sö amò quàch	mandagliene ancora un po'
che te ghe śg'é —	che tu ne hai —
lé l'à fàt ü bèl laùr	ed allora ha fatto una bella cosa
l'à fàt fà la casètà de miśüra	ha fatto preparare una cassetta su misura
e pò la gh'à dìt, la dìs:	poi gli ha detto:
— arda — la dìs —	— guarda — dice —
che 'ncö me fà màl ol có	oggi ho mal di testa
e stasérå mé — la dìs —	e stasera
saró fórse a' 'n dol lèt quàndo ca te égnet a sénå	quando tornerai a casa sarò forse a letto
té sénå	tu cena
e pò tö sö la tò casèta e 'à 'n sö	e poi porta la cassetta
ma tè dervìselå mìa la casètå nèh!	ma non aprirla
perchè ada — la dìs — che mé	perché guarda che io
te ediró se té te la dervìset	ti vedrò
— nò nò! — lü 'l gh'à 'mprumetìt	— no no! — le ha promesso
che 'l la dervìa mìa	che non l'avrebbe aperta
e difati lü l'è 'ndàt em pò 'n sö tànt	lui ha fatto un po' di strada
e pò 'l gh'à dìt:	poi s'è detto:
« só pò hé curgiùs mé de ède	« sono ben curioso di vedere
chèl che gh'è dét en de 'stå càså	quello che c'è in questa cassetta
perchè l'è pò gréå! »	perché è così pesante! »
'an' che 'l l'à pustàdå sgió	appena l'ha appoggiata
chèla che érå dét en da càså l' gh'à dìt:	quella dentro la cassa ha detto:
— arda mago che te ède èh! —	guarda mago che ti vedo! —
gliùra lü l'à fàt óter	allora lui non ha fatto altro
che tö sö amò la sò càså	che riprendere la cassa
'l l'à purtàdå a destinasiù	e portarla a destinazione
e 'l l'à ri-àda sö	è arrivata su
'ssè	così
l'à purtàt en sö	ha portato a casa
tüte trèi li tuśe	tutte e tre le ragazze
e pò a' i sólc	e anche i soldi
e lü 'l gh'è restàt gió de per lü	lui è rimasto laggiù da solo
e i à fàc pastì e pastù	hanno fatto pastino e pastone
i me n'à 'nvidàt gna' ü bucù	non me ne hanno offerto neppure un boccone
n'ìe sercàt ü bucunsì	ne avevo chiesto un bocconcino
i m'à menàt la pala söl cupì	mi hanno dato il matterello sul collo
Gh'éra 'l Hignùr e Han Piéro	Il Signore e San Pietro
che i śgirà-a	andavano in giro
ì 'ndà-a a predicà	a predicare
quàndo che i gira, i gira	gira e gira
e 'l vé hà hira	si fa sera
'l vé hira per töc	come per tutti
— fém öna bèla ròba	— facciamo una bella cosa
— 'l ga dìh ol Signùr —	— dice il Signore —
ada là — 'l dìh — che gh'è öna cà	guarda là — dice — che c'è una casa
e là 'm và de dét	entriamo
a dì h'i ma dà ergót de mangià —	a chiedere qualcosa da mangiare
e 'lura:	e allora
— éh pòta 'ndóm	— va bene, andiamo
i và là	vanno là
gh'è là öna fómna e i ga dìh:	c'è una donna e le dicono:
— gh'avrèhef mìa öna hcödèla de minèstra	— non avreste una scodella di minestra
de dàm? —	da darci? —
e lé la ga dìh: — nò eh	lei risponde: — no
ghe n'è mìa!	non ce n'è
— mìa tata, hùl em pó...	— non molta, almeno un po'...
— nò nò, ghe n'è mìa	— no, non ce n'è
'ndì a laurà a' óter	andate a lavorare anche voi
che ma tóca laurà töt ol dé a' nóter	noi pure dobbiamo faticare tutto il giorno
'ndì a laurà che hì śùegn!	lavorate che siete giovani
alura ai và	loro se ne vanno
— éh 'ndóm — al dìh — 'à là — 'l dìh —	— andiamo
che	che
'm ciaperà amò di cahine —	incontreremo ancora delle cascine —
glià ö töchèl gh'è ön'ótra cahina	dopo un po' arrivano ad un'altra cascina
e 'l và là	entrano
e 'l fà e:	e il Signore chiede:
— gh'avrèhef mìa öna hcödèla de minèhtra de dàm?	— non avreste una scodella di minestra da darci?
m'à girai töt ol dé, 'm he htöf... —	abbiamo girato tutto il giorno, siamo stanchi... —
e lé la fà: — 'gnì de dét	la donna risponde: — entrate
chèl che gh'è rehtàt —	prendete quello che è rimasto —
tö fò 'hta pignata	prende la pentola
'hte fundine e śó	i piatti e versa
'm pó de minèhtra	un po' di minestra
'm pó de polènta	con una fetta di polenta
chèl che gh'éra rehtàt	tutto quello che aveva
— gh'è che apéna la polènta	— c'è solo la polenta
del pà 'nn'è mìa	pane non ce n'è
chèl falì che gh'è...	è quel poco che ho
— hé hé	— sì
và bé 'ssé	va bene così
— ìf mangiàt ahé?	— avete mangiato abbastanza?
— m'à mangiàt ahé —	— abbiamo mangiato abbastanza —
lé töc alégher	erano tutti allegri
e i fà: — pòta ma darèhef mìa de durmì? —	e chiedono: — non ci dareste da dormire? —
e lé la ga dìh e: — pòta	lei risponde:
he durmì	— a dormire
me 'hdà höl pórtech	bisogna andare sotto il portico
e mè mìa fà del frecàh perché	e non dovete fare fracasso
'l mé óm al vé a cà ca l'è htöf èh!	perché mio marito torna a casa stanco
he fì del frecàh sö de hura...	se fate baccano là sopra...
— nò nò	— no
'm fà mìa frecàh	non faremo fracasso
'm hè htöf a' nóter, am dórma —	anche noi siamo stanchi, dormiremo —
gliùra lé la gh'à dài de 'ndà hö a durmì	allora lei li ha fatti salire a dormire
quàndo che è là	quando stanno
per durmì	per addormentarsi
'l ga dìh ol lügnùr a Piéro:	il Signore dice a Pietro:
— tè Piéro!	— Pietro
fà öna cantada! —	fa una cantata! —
e lü 'l fà:	lui risponde:
— ah mé nò!	— no
cante mìa mé	io non canto
e't mìa che la m'à dìc adèh de mìa cantà	ci ha appena detto di non far baccano
— mài piö! canta 'à là	— va' là, canta
che l'alegrìa la htà bé depertöt	che l'allegria sta bene dappertutto
dài fà öna cantada	canta
la hét mìa lé! —	che lei non sentirà! —
gliùra lü Piéro 'l fà hö öna cantada	allora Pietro si mette a cantare
pòta 'l và hö chèl òm là, 'l fà:	così sale il marito e dice:
— öh! cóha fìf cönt de fà ché?	— ma cosa fate?
ói durmì mé èh	devo dormire io eh
he óter gh'ì negót de fa	se voi non avete niente da fare
mé gh'ó de durmì! —	io devo dormire —
e śó a htangade a Piéro	e si mette a bastonare San Pietro
— madóna — 'l dìh —	— madonna — dice —
adèh — al dìh — am canta piö	— adesso — dice — non cantiamo più
'm canta piö!	non canteremo più!
dòpo lùr i heghetà-a a grignà	e a scherzare
a cöntàla hö	e continuavano a parlare
'l ga egnìa mìa hògn	non prendevano sonno
e gliùra 'l Hignùr	allora il Signore
de lé 'm pó 'l ga turna a dì:	dice ancora:
— fà amò öna cantada Piéro 'à là	— Pietro canta un altro po'
che 'ssé 'm dorma dòpo	così poi dormiremo
— nò nò — 'l dìh —	— no
mé — 'l dìh — a cante mìa! —	io non canto più
e lü 'l ga dìh:	e lui gli dice:
— fa öna bèla ròba — 'l dìh —	— fai una bella cosa
té 'é che al mé pòht — al dìh —	vieni qui al mio posto
e mé — 'l dìh —	io
a 'ndó al tò — 'l dìh —	passo al tuo
che 'ssé — 'l dìh — he i ciàpe	così le prenderò io
i ciàpe mé — 'l dìh —	le prendo io — dice —
to i ciàpet mìa hö té 'hta ólta	questa volta, non tu
'ta 'lura lü	allora Pietro
al cambia pòht	ha cambiato posto
pò dòpo pòta mè daga hcólt al Hignùr	infatti bisogna dare ascolto al Signore
e 'l ha mèt dré e 'l canta amò	e si mette di nuovo a cantare
'ta lü 'hto òm al và hö e 'l dìh:	quell'uomo sale e grida:
— v'ó dìc prima de fà mócio	— vi ho detto prima di stare zitti
fìf mócio hé o nò?	volete tacere?
prima te ì à ciapade té	prima le hai prese tu
adèh ai a ciàpa chèhto ché! —	adesso le prenderà l'altro —
'ssé i à ciapade amó Piéro	così le ha prese ancora Pietro
perchè i èra cambiàt pòht, nò?	perché aveva cambiato posto, no?
— a ét véht? — al dìh	— hai visto? — dice
Piéro 'l s'è metìt dré àch a cridà	che si mette a piangere:
— ét véht ca ó ciapade amó mé? —	— hai visto? le ho prese ancora io!
e lü 'l dìh: — eéh 'à là	— va' là
de màl — 'l dìh — cóha gh'è dét pò?	non c'è niente di male
dài dórma adèh! —	adesso dormi —
gliùra lùr i à durmìt	poi si sono addormentati
ala matina i lèa hö	al mattino si alzano
i và de bah	scendono da basso
e là chèla fómna la ga dìh e:	la donna dice:
— eéh ì uśàt im pó iér sira	— ieri sera avete gridato un bel po'
ì fai trebülà 'm pó...	avete fatto tribulare
— eéh — 'l dìh —	— eh — dice —
pòta — 'l dìh —	pota — dice —
'm ga rià-a mìa a durmì —	— non riuscivamo a dormire
e lé la fà:	e lei fa:
— ülif im pó de làc?	— volete un po' di latte
ülif ö falì de colassiù?	per colazione?
— he pòta	sì pota
ha gh'è ergót... —	— se c'è qualcosa... —
gliùra i à ciapàt chèl falì che gh'éra de mangià	hanno mangiato quel po' che c'era
e pò 'l ga dìh a 'hta fómna:	poi il Signore dice alla donna:
— 'l prìm mehtér che h' meterì dré a fa	— il primo mestiere che comincerete a fare
'ncó	oggi
dehmeterì piö!	non lo smetterete più
e lé la grégna	lei rideva fra sé
e pò dòpo la gh'éra de 'ndà de hura	doveva andare di sopra
a fà hö i lèc	a rifare i letti
a fà i laùr	e sbrigare i mestieri
e la fà e:	si dice:
« madóna chi lé	— quelli
i gh'à botép a' lùr chi lé!	hanno buontempo!
làhem tirà la mé tila che 'l vé śamó 'l sul	stenderò la tela perché già arriva il sole
perchè dòpo alméno la 'à 'nnàc a hügà »	così l'asciuga —
pòta lé la ha mèt idré a tö fò la hò tila	si mette a togliere la tela
del hòi	dal mastello
e pò śó a hlongala śó	e fa per distenderla
hlónga śó, hlónga śó, hlónga śó	distendi, distendi e distendi
pòta 'l vé hà mehdé	pota arriva mezzogiorno
l'è hunàt quàśe mehdé	sta per battere mezzogiorno
l'è dré amò a hlongà śó la tila	è ancora lì a stendere la sua tela
la 'à là chèla fómna là 'm banda	arriva la vicina
che la gh'éra mìa dài de mangià	quella che non aveva dato da mangiare
e la fà: — cóha hìf dré a fà?	e dice: — cosa sta facendo?
— pòta la ga htà piö	— non ci sta più
hó piö 'nte 'ndà a tirala mé! —	non so più dove stenderla! —
issé e 'ssé la gh'à cüntàt sö la htòria de 'h-ce òmegn	così le ha raccontato la storia di quegli uomini
che i èra pahàc	che erano passati
e che i éra dìc	e che avevano detto:
« 'l prìm mehtér che ta ha meteré dré a fa	« il primo mestiere che comincerete a fare
ta dehmeteré piö »	non lo smetterete più»
— madóra — la dìh — che éra 'gnìc a' de mé	— madonna! erano venuti anche da me
e mé — la dìh — 'nvéce — la dìh —	e io invece
a gh'ó dìc che gh'éra negót	ho detto loro che non c'era niente
he i paha 'hta hira — la dìh —	se passano di nuovo questa sera
a ga prepare ergóta a' mé	preparo qualcosa anch'io
e i paha pròpe lùr	e passano proprio loro
ala hira i paha	quelli alla sera passano davvero
— gh'avrèhef mìa ergóta 'hta hira de dàm?	— non avreste qualcosa da darci?
— hé èh	— sì
'gnì d' dét! —	entrate! —
la gh'ìa preparàt polènta	aveva preparato polenta
codeghì	cotechini
del làc	latte
ergót da mangià	insomma qualcosa da mangiare
e dòpo i fà:	poi il Signore e Pietro chiedono:
— agliùra — 'l dìh — ma dìf a' de durmì?	— ci date anche da dormire?
— hé	— sì
'ndì hö a durmì	salite
ala matina i lèa hö	al mattino si alzano
'l ga dìh a 'hta fómna:	dicono alla donna:
— adèh — al dìh — am và	— adesso andiamo
— ma ciapì che va dó 'm pó de colassiù! —	— prendete qualcosa per colazione! —
i à mangiàt ergóta	hanno mangiato
e pò 'l ga dìh e:	e il Signore dice:
— hté atènta fómna!	— attenta donna!
che 'l prìm mehtér	il primo mestiere
che h' meterì dré a fà	che comincerete a fare oggi
'ncö dehmetì piö —	non lo smetterete più
e lé la fà:	e lei fa:
— öh!	— oh!
— ederì — 'l dìh	— vedrete!
alura lé la fà:	allora ha pensato:
« gh'ó là a' mé la tila de tirà	« anch'io ho la tela da stendere
'ndó a' mé a trà la tila »	vado anch'io a tirare la tela »
ma hura pensér	ma sopra pensiero
l'à ciapàt in di mà 'l ràs-c	ha preso in mano il forcone
e la h'è metida dré per ultà la hòta	e s'è messa a rivoltare il letame
ch'i gh'à hòta i bèh-ce	sotto le bestie
pòta la gh'è piö ri-àda a metì śó	non è riuscita più a deporre
ol ràs-c	il forcone
e fà hö méda de rüt	continuava ad ammucchiare letame
e fà hö méda de rüt!	continuava ad ammucchiare letame
l'è 'gnìt a cà 'l hò òm	torna a casa il suo uomo
l'éra fò di stràh	fuori dai gangheri
a chi tép là pò!	a quei tempi poi!
— cóha hét idré a fà?	— cosa stai facendo?
— pòta gh'è pahàt de ché dù òmegn	— sono passati due uomini
i m'à dìc issé e... —	mi hanno detto... — 
'hto òm a uśà	lui si è messo a gridare
e pò i l'à a' ciapade a' hö	e la donna le ha anche prese
perchè i òmegn öna ólta	perché un tempo
he la ga girà-a...	se gli uomini avevano la luna...
Era h-cèi del rè	Erano figli del re
dù śömèi	due gemelli
i rìa a öna cèrta età	si sono fatti grandi
potà	pota
gh'è amò hò pader	avevano ancora il padre
ma l'è pròpe èc	ma era davvero vecchio
e gliùra	così
ü o l'óter 'l gh'à de regnà	uno o l'altro doveva regnare
e 'n paìh	in paese
i vülìa che l'indès sö śgiü	volevano che ne salisse uno al trono
e chèl óter al vülìa 'ndà hö a' lü, gh'éra 'm pó de dihcüssiù	ma l'altro voleva regnare anche lui, c'era un po' di discussione
gliùra hò pader al fà:	allora il padre dice:
— fi öna bèla ròba	— fate una bella cosa
'ndi 'n del bóhch	andate nel bosco
chi ma pórta śó	chi mi porterà
ön uśelì del bóhch	un uccellino del bosco
per prìm	per primo
al và hö a fà 'l rè —	diventerà re —
chèl là	quello
che 'l vülìa mìa 'ndà hö	che non voleva andare su
'l ha preoccupà-a mìa tàt lü	che non si preoccupava tanto
'l diśìa: « he 'l tróe, 'l tróe	diceva: « se lo trovo, bene
he 'l tróe mìa	se non lo trovo
óter! »	altro!
ma chèl óter	ma l'altro
l'éra dét	era
furibondo:	furibondo:
« örèh che 'l la troèh chèl là!	« vorrei trovarlo io
öi 'ndà hö mé! »	io voglio regnare! »
aglùra 'l ga dà dét a hircà, ma lü 'l tróa negót	allora si mette a cercare, ma non trova niente
fina che a fórha de śgirà 'l bóhch	finché a forza di girare il bosco
de śgirà 'l bóhch	di girare il bosco
al ha 'ncuntra con hò fredèl	incontra suo fratello
e lü 'l ga dìh:	che gli dice:
— té l'ét troàt té?	— l'hai trovato?
— mé nò!	— io no!
— ada — 'l dìh —	— guarda
mé l'ó troàt! —	io l'ho trovato!
e lü 'l fà:	e lui fa:
— ah hé?	— ah sì?
fàm vèt —	fammi vedere —
e l'à dìt: — ta ma l' dé a mé!	e ha detto: — dallo a me
— potà l'ó troàt mé	— l'ho trovato io
ghe l' pòrte śó mé — 'l dìh —	io lo porterò
he l'ó troàt mé perchè gh'ó de dàtel a té?	perché devo darlo a te?
— ta ma l' dé a mé	— dammelo! —
ta ma l' dé a mé! — i à dihcütìt ö falinì	hanno discusso un po'
e lü daga öna stangada a hò fredèl	quello gli ha dato una bastonata
al l'à copàt	e l'ha ammazzato
l'è rehtàt mórt	è rimasto morto
lü dòpo 'l ha tróa 'n fahtöde de dì:	era tutto preoccupato:
« madóra l'è mórt!	« madonna è morto!
cóha farói mé?	cosa farò?
ga digheró a mé pader che l'è piö egnìt a cà	dirò a mio padre che non è più tornato a casa
e 'l hotreró »	e lo sotterrerò »
al l'à hotràt là 'n del bóhch	lo ha sotterrato nel bosco
lü dòpo 'l và a cà, 'l ga dìh hò pader:	poi è andato a casa e suo padre gli ha chiesto:
— l'ét troàt?	— l'hai trovato?
— hé — 'l dìh — l'ó troàt	— sì, l'ho trovato
— 'ndo él tò fredèl?	— dov'è tuo fratello?
— pòta mé l'ó piö èst!	— non l'ho più visto
